AGE,고용상태,Willingness to pay/Stay,상품타입,교육수준,소득,월 납입액,타 상품 보유 현황,총지불금액,거주지사이즈,자동차
0.4000000000000001,0.0,0.006308981800778043,0.0,0.0,0.0,0.11764705882352944,0.0,0.391439205955335,0.0,0.0
0.0,1.0,0.04761495698700406,0.0,0.0,1.0,0.11764705882352944,1.0,0.03349875930521092,0.0,0.0
0.2,0.0,0.03237817075116277,0.0,0.0,1.0,0.0,1.0,0.22456575682382135,0.0,0.0
0.8,1.0,0.12641771080049577,1.0,0.0,1.0,0.2941176470588236,0.3333333333333333,0.7841191066997519,1.0,0.0
0.6000000000000001,1.0,0.08546884779167228,0.0,0.0,1.0,0.3529411764705882,0.6666666666666667,0.587468982630273,0.0,0.0
0.4000000000000001,1.0,0.06999398677089597,0.0,0.0,1.0,0.05882352941176472,0.3333333333333333,0.001861042183622829,0.0,0.0
0.4000000000000001,0.0,0.04404383521297875,0.0,0.0,1.0,0.05882352941176472,1.0,0.272332506203474,0.0,0.0
0.0,1.0,0.01856983322493159,0.0,0.0,1.0,0.17647058823529416,0.0,0.02481389578163772,0.0,0.0
0.4000000000000001,1.0,0.08523077300673726,0.0,0.0,1.0,0.4117647058823529,1.0,0.07754342431761788,0.0,0.0
0.2,0.0,0.05916158405635255,0.0,0.0,0.0,0.0,0.3333333333333333,0.031017369727047148,0.0,0.0
0.4000000000000001,0.0,0.00904684182753077,0.0,0.0,0.0,0.17647058823529416,0.0,0.3219602977667494,0.0,0.0
0.0,1.0,0.12415600034361307,0.0,0.0,1.0,0.2941176470588236,0.3333333333333333,0.09367245657568239,0.0,1.0
0.4000000000000001,0.0,0.22938505528489206,0.0,0.0,0.0,0.17647058823529416,0.3333333333333333,0.4509925558312655,0.0,0.0
0.6000000000000001,1.0,0.021188655859216806,0.0,0.0,1.0,0.23529411764705888,0.0,0.3418114143920596,0.0,0.0
0.4000000000000001,1.0,0.09427761483426805,0.0,0.0,1.0,0.0,0.3333333333333333,0.09863523573200993,0.0,0.0
0.2,0.0,0.03594929252518807,0.0,0.0,0.0,0.05882352941176472,0.6666666666666667,0.2537220843672457,0.0,0.0
